Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG%,3P%,FT%,MP,PTS,TRB,AST,RK,PLAYER,POS,HOMETOWN,HT,WT,STARS,GRADE,SCHOOL
13,TOR,Ed Davis,UNC,12,722,13756,4291,4616,539,0.567,0,0.583,19.1,5.9,6.4,0.7,11,Ed Davis,PF,"Richmond, VABenedictine College Prep",6'8'',215,,96,N Carolina
14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,0.447,0.369,0.755,20.8,6.7,3.9,1,9,Patrick Patterson,PF,"Huntington, WVHuntington High School",6'8'',245,,97,Kentucky
16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,13,Luke Babbitt,PF,"Reno, NVGalena High School",6'7'',220,,96,Nevada
19,BOS,Avery Bradley,Texas,12,660,18151,7279,1863,1105,0.434,0.365,0.783,27.5,11,2.8,1.7,1,Avery Bradley,SG,"Tacoma, WAFindlay College Prep",6'3'',180,,98,Texas
20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,24,James Anderson,SF,"Junction City, ARJunction City High School",6'5'',190,,97,Oklahoma St
22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,18,Elliot Williams,SG,"Memphis, TNSaint George Academy",6'4'',180,,96,Duke
29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,13,Daniel Orton,C,"Oklahoma City, OKBishop McGuinness High School",6'10'',260,,97,Kentucky
36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,95,Terrico White,SG,"Memphis, TNCraigmont High School",6'5'',205,,92,Ole Miss
40,IND,Lance Stephenson,Cincinnati,10,554,12680,4738,2251,1621,0.445,0.314,0.694,22.9,8.6,4.1,2.9,12,Lance Stephenson,SG,"Brooklyn, NYLincoln High School",6'5'',220,,97,Cincinnati
46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,22,Gani Lawal,PF,"Norcross, GAMontgomery County High School",6'8'',225,,97,Georgia Tech
